event_date,vault_id,failures_count,_4,_5,_6
2023-04-10,S300Z772,ST4000DM000,0,1004,69238.0
2023-04-10,S300Z7YQ,ST4000DM000,0,1005,68793.0
2023-04-10,S300Z7Z0,ST4000DM000,0,1005,68780.0
2023-04-10,S300ZRAV,ST4000DM000,0,1006,68111.0
2023-04-10,S301KX58,ST4000DM000,0,1012,65268.0
2023-04-10,S301NG4C,ST4000DM000,0,1014,64798.0
2023-04-10,S301PV9Y,ST4000DM000,0,1016,64310.0
2023-04-10,Z3029ZYR,ST4000DM000,0,1003,69928.0
2023-04-10,Z302AKKD,ST4000DM000,0,1001,71614.0
2023-04-10,Z302ALBZ,ST4000DM000,0,1008,66856.0
2023-04-10,Z302G0C2,ST4000DM000,0,1003,69943.0
2023-04-10,Z302G5SW,ST4000DM000,0,1001,71615.0
2023-04-10,Z302SZB4,ST4000DM000,0,1009,66447.0
2023-04-10,Z302SZLS,ST4000DM000,0,1008,66905.0
2023-04-10,Z303XYTK,ST4000DM000,0,1013,65065.0
2023-04-10,Z304GR97,ST4000DM000,0,1010,65846.0
2023-04-10,Z304HKH7,ST4000DM000,0,1013,65060.0
2023-04-10,Z304HLZB,ST4000DM000,0,1013,65117.0
2023-04-10,Z304HSKC,ST4000DM000,0,1013,65054.0
2023-04-10,Z304HT9C,ST4000DM000,0,1015,64760.0
2023-04-10,Z304K1BV,ST4000DM000,0,1023,52564.0
2023-04-10,Z304KBKD,ST4000DM000,0,1015,64762.0
2023-04-10,Z304KC0P,ST4000DM000,0,1013,65100.0
2023-04-10,Z304KCRA,ST4000DM000,0,1014,64794.0
2023-04-10,Z304KCS2,ST4000DM000,0,1013,65082.0
2023-04-10,Z304LB0R,ST4000DM000,0,1013,65060.0
2023-04-10,Z3050XW9,ST4000DM000,0,1017,64298.0
2023-04-10,Z3054E8Y,ST4000DM000,0,1018,63431.0
2023-04-10,Z3056BDL,ST4000DM000,0,1018,63436.0
2023-04-10,Z3058WWG,ST4000DM000,0,1018,63429.0
2023-04-10,Z305ANXX,ST4000DM000,0,1017,64125.0
2023-04-10,Z305D2GA,ST4000DM000,0,1022,62816.0
2023-04-10,Z305D2HY,ST4000DM000,0,1022,62797.0
2023-04-10,Z305D49N,ST4000DM000,0,1022,62791.0
2023-04-10,Z305D4LX,ST4000DM000,0,1022,62802.0
2023-04-10,Z305D697,ST4000DM000,0,1022,62756.0
2023-04-10,Z305D6R8,ST4000DM000,0,1019,63047.0
